Communications Resource Availability Worksheet,,,,2 M & 440 band VHF/UHF Phone and Data Modes,,,,"Target Date: May 1, 2025",Denotes Changes from Yellow U1
17,CLAD 6,145.5700,145.5700,,FM,,,CLAC ARES DIGT--Winlink Packet RMS-- KD7ZDO-10--kd7zdo@winlink.org C-EOC,
18,CLAD 7,145.8300,145.8300,,FM,,,CLAC ARES Winlink VARA-FM P-P KD7ZDO-Digipeater --KD7ZDO-5 C-EOC,
19,CANBF1,444.4500,449.4500,5,FM,131.8,,CLAC CANBY FIRE RPTR-- Canby (K7CFD),Add
20,CFD1 1,145.7500,145.7500,,FM,,,CLAC CERT SIMP - CFD  CERT Primary,
21,CFD1 2,431.8500,431.8500,,FM,,,CLAC CERT SIMP - CFD 1 CERT Secondary,
22,CLOG 1,431.8250,431.8250,,FM,,,CLAC ARES SIMP-CARES Logistics 1,
23,CLOG 2,431.8750,431.8750,,FM,,,CLAC ARES SIMP-CARES Logistics 2,
24,EAST 1,146.5400,146.5400,,FM,,,CLAC EAST SIMP-Clackamas East County ARES Simplex,
25,EAST 3,145.7100,145.7100,,FM,,,CLAC EAST Winlink VARA Packet / Tertiary analog voice,
26,EVENT1,440.2750,445.2750,5,FM,103.5,103.5,CLAC ARES RPTR Portable UHF--HOW Trailer (KD7ZDO),
27,EVENT2,145.6500,145.2500,0.6,FM,103.5,103.5,CLAC ARES Portable Event Repeater VHF (ORRC Test Pair) (KD7ZDO) (Spring 2025),
28,EVENT3,440.2250,445.2250,5,FM,103.5,103.5,CLAC ARES Portable Event Repeater UHF on HOW Trailer (ORRC LARS CH.) (KD7ZDO) (Spring 2025),Add
29,LO 1,444.3000,449.3000,5,FM,82.5,82.5,CLAC LO-1--RPTR Lake Oswego ARES Primary  (Echolink enabled) (WA7LO),
30,LO 2,146.5000,146.5000,,FM,82.5,82.5,CLAC LO-2--SIMP Lake Oswego ARES Simplex Secondary,
31,LO 3,145.5300,145.5300,,FM,,,CLAC LO-3--Winlink VARA-FM Packet Post Office WA7LO-10 / Digital Channel/Tertiary analog voice,
32,LO 4,431.9000,431.9000,,FM,,,CLAC LO-4--SIMP- Lake Oswego Logistics,
33,LO 5,147.4600,147.4600,,FM,,,LO LDS Stake Comm Primary,
34,LO 6,432.6250,432.6250,,FM,,,LO LDS Stake Comm Secondary,
35,NOCO 1,147.5000,147.5000,,FM,,,CLAC NORT SIMP Clackamas North County ARES Simplex,
36,NOCO 3,145.6700,145.6700,,FM,,,CLAC NORT Winlink VARA Packet / Tertiary analog voice,
37,OC 1,442.0750,447.0750,5,FM,103.5,,CLAC OC-- RPTR Oregon City ARES Repeater (W7ZRS),
38,OC 2,146.5600,146.5600,,FM,,,CLAC OC-- SIMP Oregon City ARES Simplex,
39,OC 3,145.6300,145.6300,,FM,,,CLAC OC--Winlink VARA Packet / Tertiary analog voice,
40,OC 4,431.9250,431.9250,,FM,,,CLAC OC-- SIMP-Logistics,
41,SAND 1,145.4300,144.8300,-0.6,FM,107.2,,CLAC SOUTH RPTR-- Sandy Repeater (KJ7IY),
42,SAND 2,145.8100,145.8100,,FM,,,CLAC SOUTH SIMP-Sandy Simplex,
43,MOLA 1,440.7000,445.7000,5,FM,77.0,77.0,CLAC CERT RPTR-Molalla Fire CERT (W7DTV),
44,SOCO 2,146.5800,146.5800,,FM,,,CLAC SOUTH SIMP-Clackamas South County ARES Simplex,
45,SOCO 3,145.6900,145.6900,,FM,,,CLAC SOUTH--Winlink VARA Packet / Tertiary analog voice,
46,WEST 1,145.5500,145.5500,,FM,,,CLAC WEST SIMP-Clackamas West County ARES Simplex,
47,WEST 2,146.9200,146.3200,-0.6,FM,100.0,,CLAC WEST RPRT Newberg (AH6LE),
48,WEST 3,145.7300,145.7300,,FM,,,CLAC WEST--Winlink VARA Packet / Tertiary analog voice,
49,WILS 1,146.4600,146.4600,,FM,,,CLAC WEST SIMP Wilsonville ,
50,WILS 2,441.8750,446.8750,5,FM,100.0,,CLAC SOUTH RPTR--Wilsonville at Parrett Mt. (AH6LE),
51,WILS 3,431.9250,431.9250,,FM,,,CLAC WILS 3--SIMP-Wilsonville Logistics,
52,WLIN 1,146.4400,146.4400,,FM,,,CLAC WEST LINN SIMP-West Linn Simplex,
53,WLIN 2,441.6750,446.6750,5,FM,103.7,,CLAC WEST Linn RPTR-West Linn--Suncrest Drive (KD7DNM) (Summer 2025),Add
54,APRS,144.3900,144.3900,,FM,100.0,,IARU Region 2 APRS Frequency,Added tone
55,D1-1,147.3200,147.9200,0.6,FM,100,,D-1 Primary Net RPTR  [OEM Monitored]--Forest Grove (W7RPT),
56,D1-2,146.8400,146.2400,-0.6,FM,,,D-1 Secondary / Multnomah Co. ARES Primary RPRT--Portland (W7LT),
57,D4-1,146.7800,146.1800,-0.6,FM,156.7,,D-4 Primary Net RPTR Corvallis (K7CVO),
58,HRT 1,440.4750,445.4750,5.0,FM,123.0,,HEART Net-Primary RPTR--Portland (K0HSU),
59,HRT 2,442.7000,447.7000,5.0,FM,100.0,,HEART Net Secondary RPTR,
60,INTEL1,145.5200,,,FM,,,Intel Emergency Amateur Radio Service SIMP (IEARS),
61,LDS 1,146.7000,146.1000,-0.6,FM,100.0,,CARS LDS RPTR Regional Emergency Network--Portland--Stonehenge (KE7AWR),
62,NUCALL,446.0000,446.0000,,FM,,,National UHF Calling SIMP Frequency,
63,NVCALL,146.5200,146.5200,,FM,,,National VHF Calling SIMP Frequency,
64,RED C1,146.9800,146.3800,-0.6,FM,D023,,Red Cross RPTR--Portland (W7NK),
65,RED CR,147.4200,147.4200,,FM,,,Red Cross SIMP,
66,OEM 1,145.3300,144.7300,-0.6,FM,186.2,,OEM RPTR--Oregon Emergency Management--Salem (W7SRA) ,
67,OEM 2,147.0200,147.6200,0.6,FM,186.2,,OEM RPTR--Oregon Emergency Management--Falls City (W7SRA),
68,OEM 3,144.9900,144.9900,,FM,,,RMS Winlink VARA FM Packet W7ODN-10 / OEM EOC: w7oem@winlink.org ,
69,PROV 1,146.4600,146.4600,,FM,,,Providence Hospital SIMP Channel,
70,PROV 2,443.2250,448.2250,5,FM,107.2,,Providence Portland Medical Center RPTR--Portland (W7PMC),
71,PROV 3,444.8500,449.8500,5,FM,123.0,,Providence St. Vincent Medical Center RPTR--Portland (W7PSV),
72,W7SRA,146.8600,146.2600,-0.6,FM,186.2,,Salem RPTR--Prospect Hill (W7SRA),
73,XBAND1,446.4250,446.4250,,FM,103.5,,Crossband RPTR UHF side 1 (VHF side determined by application),Add
74,XBAND2,446.4500,446.4500,,FM,103.5,,Crossband RPTR UHF side 2 (VHF side determined by application),Add
75,GREEN,147.1200,147.7200,0.6,FM,100.0,,Version Control Channel--Green TBD,
